Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Março;GO;4472041.0;0.0;1208159.0;43159154.0;0.0;12348858.0
2000;Março;MA;2769145.0;0.0;450450.0;9375203.0;0.0;4079965.0
2000;Março;MT;185210.0;0.0;666076.0;13814802.0;0.0;8637253.0
2000;Março;MS;171083.0;1260.0;908849.0;10961598.0;0.0;6950562.0
2000;Março;MG;38897767.0;17.0;10072792.0;185839612.0;0.0;72605991.0
2000;Março;PA;1156356.0;0.0;1207662.0;16894196.0;0.0;13222577.0
2000;Março;PB;1532436.0;0.0;721437.0;10760533.0;0.0;7274777.0
2000;Março;PR;54528178.0;29.0;6483530.0;126302671.0;0.0;49471279.0
2000;Março;PE;8222719.0;0.0;1977445.0;45470336.0;0.0;29319998.0
2000;Março;PI;167313.0;0.0;384176.0;6793277.0;0.0;2668425.0
2000;Março;RJ;65588102.0;0.0;38662009.0;763795618.0;0.0;310910342.0
2000;Março;RN;637663.0;0.0;471393.0;10715121.0;0.0;4670146.0
2000;Março;RS;23656856.0;10533.0;8256411.0;176887012.0;0.0;68104838.0
2000;Março;RO;12843.0;51.0;256496.0;5247167.0;0.0;2702404.0
2000;Março;RR;2605.0;0.0;94599.0;1184166.0;0.0;979393.0
2000;Março;SC;14547721.0;8100.0;2864244.0;77892352.0;0.0;24594534.0
2000;Março;SP;335955873.0;66.0;82013858.0;1137048481.0;0.0;629060632.0
2000;Março;SE;480266.0;0.0;847332.0;7056060.0;0.0;4926658.0
2000;Março;TO;12822.0;0.0;157503.0;2885954.0;0.0;713256.0
2000;Abril;AC;69.0;0.0;1534469.0;1290412.0;0.0;570225.0
2000;Abril;AL;431496.0;34670.0;5599176.0;12143928.0;0.0;3121971.0
2000;Abril;AP;18176.0;0.0;673690.0;1276739.0;0.0;585244.0
2000;Abril;AM;11653014.0;0.0;4396799.0;47530464.0;0.0;13559355.0
2000;Abril;BA;14688014.0;339.0;15155589.0;75677934.0;0.0;23222040.0
2000;Abril;CE;6404554.0;0.0;14628406.0;37211974.0;0.0;17432278.0
2000;Abril;DF;1575729.0;220.0;25559967.0;113907394.0;0.0;180539755.0
2000;Abril;ES;39356046.0;0.0;10574963.0;40756335.0;0.0;10335622.0
2000;Abril;GO;4860570.0;0.0;11800447.0;41611410.0;0.0;9649936.0
2000;Abril;MA;4496161.0;0.0;3171259.0;9037552.0;0.0;3848637.0
2000;Abril;MT;174171.0;0.0;4223244.0;14216864.0;0.0;5973913.0
